Gene name	GO term accession
DCBLD2	GO:0016020
DCBLD2	GO:0030308
DCBLD2	GO:0042060
DCBLD2	GO:0009986
DCBLD2	GO:0005886
CMSS1	
	GO:0016021
	GO:0016020
FILIP1L	
	
TBC1D23	GO:0005794
TBC1D23	GO:0005829
TBC1D23	GO:0042147
TBC1D23	GO:0007420
TBC1D23	GO:0099041
TBC1D23	GO:0005802
TBC1D23	GO:0031410
TBC1D23	GO:0071203
NIT2	GO:0006807
NIT2	GO:0005813
NIT2	GO:0005829
NIT2	GO:0006107
NIT2	GO:0050152
NIT2	GO:0006528
NIT2	GO:0006541
NIT2	GO:0016787
NIT2	GO:0016811
TOMM70	GO:0016020
TOMM70	GO:0005739
TOMM70	GO:0005515
TOMM70	GO:0002218
TOMM70	GO:0002230
TOMM70	GO:0032728
TOMM70	GO:0042981
TOMM70	GO:0098586
TMEM45A	
TMEM45A	GO:0016020
TFG	GO:0006888
TFG	GO:0048208
TFG	GO:0042802
TFG	GO:0005515
TFG	GO:0005829
TFG	GO:0043231
TFG	GO:0070971
ABI3BP	GO:0005515
ABI3BP	GO:0030198
ABI3BP	GO:0031012
ABI3BP	GO:0005518
ABI3BP	GO:0008201
ABI3BP	GO:0005614
ABI3BP	GO:0005539
ABI3BP	GO:0010811
ABI3BP	GO:0008285
ABI3BP	GO:1904597
ABI3BP	GO:1905209
IMPG2	GO:0016020
IMPG2	GO:0042995
IMPG2	GO:0005576
IMPG2	GO:0008201
IMPG2	GO:0007601
IMPG2	GO:0005540
IMPG2	GO:0043235
IMPG2	GO:0071944
IMPG2	GO:0033165
IMPG2	GO:0005201
IMPG2	GO:0008104
IMPG2	GO:0030198
IMPG2	GO:0060042
SENP7	GO:0005737
SENP7	GO:0005634
SENP7	GO:0070139
SENP7	GO:0016926
SENP7	GO:0006508
SENP7	GO:0008234
SENP7	GO:0140374
TXNL4B	GO:0046540
TXNL4B	GO:0000398
TRMT10C	GO:0016740
TRMT10C	GO:0005739
TRMT10C	GO:0008168
TRMT10C	GO:0032259
TRMT10C	GO:0008033
TRMT10C	GO:0000049
TRMT10C	GO:0009019
TRMT10C	GO:0016429
TRMT10C	GO:0061953
TRMT10C	GO:0000964
TRMT10C	GO:0070131
TRMT10C	GO:0080009
TRMT10C	GO:0090646
TRMT10C	GO:0097745
TRMT10C	GO:1990180
TRMT10C	GO:0005654
TRMT10C	GO:0042645
TRMT10C	GO:0042802
TRMT10C	GO:0052905
TRMT10C	GO:0070901
TRMT10C	GO:0030678
TRMT10C	GO:0043527
PCNP	GO:0005654
PCNP	GO:0043161
PCNP	GO:0016604
PCNP	GO:0016567
PCNP	GO:0005634
