Gene name	GO term accession
MT-TF	GO:0030533
MT-TF	GO:0006412
MT-RNR1	GO:0003735
MT-RNR1	GO:0005840
MT-TV	
MT-RNR2	GO:0003735
MT-RNR2	GO:0005840
MT-TL1	GO:0030533
MT-TL1	GO:0006412
MT-ND1	GO:0016020
MT-ND1	GO:0005739
MT-ND1	GO:0005743
MT-ND1	GO:0005515
MT-ND1	GO:0031966
MT-ND1	GO:0070469
MT-ND1	GO:0022900
MT-ND1	GO:0008137
MT-ND1	GO:0032981
MT-ND1	GO:0005747
MT-ND1	GO:0003954
MT-ND1	GO:0006120
MT-ND1	GO:0009060
MT-ND1	GO:0042776
MT-TI	
MT-TQ	GO:0030533
MT-TQ	GO:0006412
MT-TM	
MT-ND2	GO:0008137
MT-ND2	GO:0006120
MT-ND2	GO:0016020
MT-ND2	GO:0016491
MT-ND2	GO:0005739
MT-ND2	GO:0005743
MT-ND2	GO:0070469
MT-ND2	GO:0005515
MT-ND2	GO:0032981
MT-ND2	GO:0005747
MT-ND2	GO:0009060
MT-ND2	GO:0042776
MT-ND2	GO:0019901
MT-ND2	GO:0035255
MT-ND2	GO:0072593
MT-ND2	GO:0014069
MT-TW	
MT-TA	
MT-TN	GO:0030533
MT-TN	GO:0006412
MT-TC	
MT-TY	GO:0030533
MT-TY	GO:0006412
MT-CO1	GO:0016021
MT-CO1	GO:0004129
MT-CO1	GO:0020037
MT-CO1	GO:0009060
MT-CO1	GO:0045277
MT-CO1	GO:0016020
MT-CO1	GO:0046872
MT-CO1	GO:0005739
MT-CO1	GO:0005743
MT-CO1	GO:1902600
MT-CO1	GO:0005515
MT-CO1	GO:0070469
MT-CO1	GO:0006119
MT-CO1	GO:0005751
MT-CO1	GO:0022900
MT-CO1	GO:0006123
MT-CO1	GO:0045333
MT-CO1	GO:0015990
MT-CO1	GO:0005750
MT-CO1	GO:0006979
MT-CO1	GO:0007568
MT-CO1	GO:0021549
MT-CO1	GO:0022904
MT-CO1	GO:0046688
MT-CO1	GO:0051602
MT-TS1	GO:0030533
MT-TS1	GO:0006412
MT-TD	
MT-CO2	GO:0016021
MT-CO2	GO:0016020
MT-CO2	GO:0016491
MT-CO2	GO:0005507
MT-CO2	GO:0004129
MT-CO2	GO:0022900
MT-CO2	GO:0046872
MT-CO2	GO:0005739
MT-CO2	GO:0005743
MT-CO2	GO:1902600
MT-CO2	GO:0005515
MT-CO2	GO:0070469
MT-CO2	GO:0006123
MT-CO2	GO:0045333
MT-CO2	GO:0005751
MT-CO2	GO:0045277
MT-CO2	GO:0007595
MT-CO2	GO:0009409
MT-CO2	GO:0010729
MT-CO2	GO:0010940
MT-CO2	GO:0042773
MT-CO2	GO:2001171
MT-TK	
MT-ATP8	GO:0015986
MT-ATP8	GO:0015078
MT-ATP8	GO:0000276
MT-ATP8	GO:0016020
MT-ATP8	GO:0006811
MT-ATP8	GO:0005739
MT-ATP8	GO:0031966
MT-ATP8	GO:1902600
MT-ATP8	GO:0005515
MT-ATP8	GO:0042776
MT-ATP8	GO:0045263
MT-ATP8	GO:0006754
MT-ATP8	GO:0046933
MT-ATP8	GO:0005743
MT-ATP8	GO:0005753
MT-ATP6	GO:0015986
MT-ATP6	GO:0015078
MT-ATP6	GO:0045263
MT-ATP6	GO:0016020
MT-ATP6	GO:0006811
MT-ATP6	GO:0005739
MT-ATP6	GO:0005743
MT-ATP6	GO:1902600
MT-ATP6	GO:0005515
MT-ATP6	GO:0042776
MT-ATP6	GO:0006754
MT-ATP6	GO:0046933
MT-ATP6	GO:0005753
MT-ATP6	GO:0007568
MT-ATP6	GO:0055093
MT-CO3	GO:0009055
MT-CO3	GO:0016020
MT-CO3	GO:0004129
MT-CO3	GO:0022904
MT-CO3	GO:0019646
MT-CO3	GO:0005739
MT-CO3	GO:0005743
MT-CO3	GO:1902600
MT-CO3	GO:0005515
MT-CO3	GO:0055085
MT-CO3	GO:0009060
MT-CO3	GO:0006123
MT-CO3	GO:0045333
MT-CO3	GO:0005751
MT-CO3	GO:0045277
MT-CO3	GO:0015453
MT-CO3	GO:0008535
MT-TG	
MT-ND3	GO:0008137
MT-ND3	GO:0016020
MT-ND3	GO:0005739
MT-ND3	GO:0005743
MT-ND3	GO:0005515
MT-ND3	GO:0031966
MT-ND3	GO:0070469
MT-ND3	GO:0022900
MT-ND3	GO:0005747
MT-ND3	GO:0006120
MT-ND3	GO:0009060
MT-ND3	GO:0042776
MT-ND3	GO:0006979
MT-ND3	GO:0009642
MT-ND3	GO:0009725
MT-ND3	GO:0071385
MT-TR	
MT-ND4L	GO:0042773
MT-ND4L	GO:0016651
MT-ND4L	GO:0016020
MT-ND4L	GO:0016491
MT-ND4L	GO:0005739
MT-ND4L	GO:0005743
MT-ND4L	GO:0070469
MT-ND4L	GO:0008137
MT-ND4L	GO:0005747
MT-ND4L	GO:0006120
MT-ND4L	GO:0009060
MT-ND4L	GO:0042776
MT-ND4	GO:0008137
MT-ND4	GO:0042773
MT-ND4	GO:0016020
MT-ND4	GO:0005739
MT-ND4	GO:0005743
MT-ND4	GO:0031966
MT-ND4	GO:0070469
MT-ND4	GO:0032981
MT-ND4	GO:0005747
