Gene name	GO term accession
mt-Tf	GO:0030533
mt-Tf	GO:0006414
mt-Tf	GO:0005739
mt-Rnr1	GO:0003735
mt-Rnr1	GO:0000028
mt-Rnr1	GO:0006412
mt-Rnr1	GO:0005763
mt-Tv	GO:0030533
mt-Tv	GO:0006414
mt-Tv	GO:0005739
mt-Rnr2	GO:0003735
mt-Rnr2	GO:0006412
mt-Rnr2	GO:0000027
mt-Rnr2	GO:0005762
mt-Rnr2	GO:0005840
mt-Tl1	GO:0030533
mt-Tl1	GO:0006414
mt-Tl1	GO:0005739
mt-Nd1	GO:0016020
mt-Nd1	GO:0005739
mt-Nd1	GO:0016491
mt-Nd1	GO:0008137
mt-Nd1	GO:0005743
mt-Nd1	GO:0043025
mt-Nd1	GO:0070469
mt-Nd1	GO:0030425
mt-Nd1	GO:0031966
mt-Nd1	GO:0032981
mt-Nd1	GO:0006120
mt-Nd1	GO:0009060
mt-Nd1	GO:0042776
mt-Nd1	GO:0005747
mt-Nd1	GO:0003954
mt-Nd1	GO:0009410
mt-Nd1	GO:0014070
mt-Nd1	GO:0033194
mt-Ti	GO:0030533
mt-Ti	GO:0006414
mt-Ti	GO:0005739
mt-Tq	GO:0030533
mt-Tq	GO:0006414
mt-Tq	GO:0005739
mt-Tm	GO:0030533
mt-Tm	GO:0006414
mt-Tm	GO:0005739
mt-Nd2	GO:0008137
mt-Nd2	GO:0006120
mt-Nd2	GO:0005739
mt-Nd2	GO:0072593
mt-Nd2	GO:0014069
mt-Nd2	GO:0016020
mt-Nd2	GO:0016491
mt-Nd2	GO:0005743
mt-Nd2	GO:0070469
mt-Nd2	GO:0019901
mt-Nd2	GO:0032981
mt-Nd2	GO:0035255
mt-Nd2	GO:0009060
mt-Nd2	GO:0042776
mt-Nd2	GO:0005747
mt-Tw	GO:0030533
mt-Tw	GO:0006414
mt-Tw	GO:0005739
mt-Ta	GO:0030533
mt-Ta	GO:0006414
mt-Ta	GO:0005739
mt-Tn	GO:0030533
mt-Tn	GO:0006414
mt-Tn	GO:0005739
mt-Tc	GO:0030533
mt-Tc	GO:0006414
mt-Tc	GO:0005739
mt-Ty	GO:0030533
mt-Ty	GO:0006414
mt-Ty	GO:0005739
mt-Co1	GO:0016021
mt-Co1	GO:0004129
mt-Co1	GO:0020037
mt-Co1	GO:0009060
mt-Co1	GO:0045277
mt-Co1	GO:0005739
mt-Co1	GO:0016020
mt-Co1	GO:0046872
mt-Co1	GO:0016491
mt-Co1	GO:0005743
mt-Co1	GO:0022900
mt-Co1	GO:0070469
mt-Co1	GO:1902600
mt-Co1	GO:0006119
mt-Co1	GO:0006979
mt-Co1	GO:0006123
mt-Co1	GO:0005750
mt-Co1	GO:0007568
mt-Co1	GO:0015990
mt-Co1	GO:0021549
mt-Co1	GO:0022904
mt-Co1	GO:0046688
mt-Co1	GO:0051602
mt-Co1	GO:0005751
mt-Ts1	GO:0030533
mt-Ts1	GO:0006414
mt-Ts1	GO:0005739
mt-Td	GO:0030533
mt-Td	GO:0006414
mt-Td	GO:0005739
mt-Co2	GO:0016021
mt-Co2	GO:0016020
mt-Co2	GO:0016491
mt-Co2	GO:0005507
mt-Co2	GO:0004129
mt-Co2	GO:0022900
mt-Co2	GO:0005739
mt-Co2	GO:0046872
mt-Co2	GO:0005743
mt-Co2	GO:0070469
mt-Co2	GO:1902600
mt-Co2	GO:0010940
mt-Co2	GO:0005751
mt-Co2	GO:0045277
mt-Co2	GO:0007595
mt-Co2	GO:0009409
mt-Co2	GO:0010729
mt-Co2	GO:0042773
mt-Co2	GO:2001171
mt-Tk	GO:0030533
