Gene name	GO term accession
	GO:0030533
	GO:0006412
	GO:0003735
	GO:0005840
	
ND1	GO:0016020
ND1	GO:0016021
ND1	GO:0005739
ND1	GO:0003954
ND1	GO:0008137
ND1	GO:0009060
ND1	GO:0005743
ND1	GO:0005747
ND1	GO:0031966
ND1	GO:0032981
ND1	GO:0006120
ND2	GO:0008137
ND2	GO:0006120
ND2	GO:0016020
ND2	GO:0016021
ND2	GO:0005739
ND2	GO:0005743
ND2	GO:0070469
ND2	GO:0032981
ND2	GO:0072593
ND2	GO:0005747
COX1	GO:0016021
COX1	GO:0004129
COX1	GO:0020037
COX1	GO:0009060
COX1	GO:0045277
COX1	GO:0016020
COX1	GO:0046872
COX1	GO:0005739
COX1	GO:0005743
COX1	GO:0070469
COX1	GO:1902600
COX1	GO:0022900
COX1	GO:0006119
COX1	GO:0045907
COX1	GO:0005750
COX1	GO:0005751
COX1	GO:0031966
COX2	GO:0016021
COX2	GO:0016020
COX2	GO:0016491
COX2	GO:0005507
COX2	GO:0004129
COX2	GO:0022900
COX2	GO:0046872
COX2	GO:0005739
COX2	GO:0005743
COX2	GO:0070469
COX2	GO:1902600
COX2	GO:0045907
COX2	GO:0042773
COX2	GO:0005751
COX2	GO:0031966
COX2	GO:0045277
ATP8	GO:0015986
ATP8	GO:0015078
ATP8	GO:0000276
ATP8	GO:0016020
ATP8	GO:0016021
ATP8	GO:0005739
ATP8	GO:0031966
ATP8	GO:0006811
ATP8	GO:0045263
ATP8	GO:0006754
ATP8	GO:1902600
ATP6	GO:0015986
ATP6	GO:0015078
ATP6	GO:0045263
ATP6	GO:0016020
ATP6	GO:0016021
ATP6	GO:0005739
ATP6	GO:0005743
ATP6	GO:0006811
ATP6	GO:0006754
ATP6	GO:1902600
COX3	GO:0009055
COX3	GO:0016020
COX3	GO:0004129
COX3	GO:0022904
COX3	GO:0019646
COX3	GO:0016021
COX3	GO:0005739
COX3	GO:1902600
COX3	GO:0008535
COX3	GO:0005751
COX3	GO:0031966
COX3	GO:0045277
ND3	GO:0008137
ND3	GO:0016020
ND3	GO:0016021
ND3	GO:0005739
ND3	GO:0031966
ND3	GO:0005743
ND3	GO:0070469
ND3	GO:0006120
ND3	GO:0005747
ND4L	GO:0042773
ND4L	GO:0016651
ND4L	GO:0016020
ND4L	GO:0016021
ND4L	GO:0005739
ND4L	GO:0008137
ND4L	GO:0005743
ND4L	GO:0070469
ND4	GO:0008137
ND4	GO:0042773
ND4	GO:0006120
ND4	GO:0032981
ND4	GO:0005743
ND4	GO:0005747
ND5	GO:0008137
ND5	GO:0042773
ND5	GO:0006120
ND5	GO:0032981
ND5	GO:0005743
ND5	GO:0005747
ND6	GO:0008137
ND6	GO:0016020
ND6	GO:0016021
ND6	GO:0005739
ND6	GO:0031966
ND6	GO:0005743
ND6	GO:0070469
ND6	GO:0006120
ND6	GO:0032981
ND6	GO:0005747
CYTB	GO:0009055
CYTB	GO:0016020
CYTB	GO:0016491
CYTB	GO:0008121
CYTB	GO:0022904
CYTB	GO:0045275
CYTB	GO:0016021
CYTB	GO:0046872
CYTB	GO:0005739
CYTB	GO:0005743
CYTB	GO:0070469
CYTB	GO:1902600
CYTB	GO:0005750
CYTB	GO:0031305
SH3YL1	GO:0005515
SH3YL1	GO:0019902
SH3YL1	GO:0035091
SH3YL1	GO:0006661
SH3YL1	GO:1900027
SH3YL1	GO:0032587
FAM110C	GO:0005938
FAM110C	GO:0030335
FAM110C	GO:0043014
FAM110C	GO:0060491
FAM110C	GO:0051897
	GO:0006487
	GO:0034998
	GO:0016020
	GO:0016021
	GO:1990904
HAPLN1	GO:0007155
HAPLN1	GO:0005540
HAPLN1	GO:0005576
HAPLN1	GO:0031012
HAPLN1	GO:0007417
HAPLN1	GO:0001501
HAPLN1	GO:0045202
EDIL3	GO:0005509
EDIL3	GO:0010811
COX7C	GO:0005751
COX7C	GO:0006123
COX7C	GO:0031966
CETN3	GO:0005509
CETN3	GO:0008017
CETN3	GO:0031683
CETN3	GO:0005813
CETN3	GO:0005814
CETN3	GO:0032391
