"gene.name","human.gene.name","human.homology.type","human.gene.order.conservation.score","human.whole.genome.alignment.coverage","human.orthology.confidence..0.low..1.high."
"mt-Nd1","MT-ND1","ortholog_one2one",50,100,1
"mt-Nd2","MT-ND2","ortholog_one2one",75,100,1
"mt-Co1","MT-CO1","ortholog_one2one",100,100,1
"mt-Co2","MT-CO2","ortholog_one2one",100,100,1
"mt-Atp8","MT-ATP8","ortholog_one2one",100,100,0
"mt-Atp6","MT-ATP6","ortholog_one2one",100,100,1
"mt-Co3","MT-CO3","ortholog_one2one",100,100,1
"mt-Nd3","MT-ND3","ortholog_one2one",100,100,1
"mt-Nd4l","MT-ND4L","ortholog_one2one",100,100,1
"mt-Nd4","MT-ND4","ortholog_one2one",100,100,1
"mt-Nd5","MT-ND5","ortholog_one2one",100,100,1
"mt-Nd6","MT-ND6","ortholog_one2one",75,100,1
"mt-Cytb","MT-CYB","ortholog_one2one",50,100,1
"Stc2","STC2","ortholog_one2one",50,100,1
"Hdhd3","HDHD3","ortholog_one2one",100,100,1
"Iba57","IBA57","ortholog_one2one",100,100,1
"Kcnj14","KCNJ14","ortholog_one2one",100,100,1
"Trim60","TRIM60","ortholog_one2one",75,100,1
"Ncs1","NCS1","ortholog_one2one",100,100,1
"Gfod2","GFOD2","ortholog_one2one",100,100,1
"Nudt14","NUDT14","ortholog_one2one",100,100,1
"Rlbp1","RLBP1","ortholog_one2one",100,100,1
"Themis","THEMIS","ortholog_one2one",100,98.38,1
"Fbp2","FBP2","ortholog_one2one",50,100,1
"Znhit2","ZNHIT2","ortholog_one2one",100,100,1
"Rnf182","RNF182","ortholog_one2one",100,100,1
"Macc1","MACC1","ortholog_one2one",50,100,1
"Trim61","TRIM61","ortholog_one2one",0,100,1
"Slc25a4","SLC25A4","ortholog_one2one",100,100,1
"Echdc3","ECHDC3","ortholog_one2one",100,100,1
"Smo","SMO","ortholog_one2one",100,100,1
"Dcaf15","DCAF15","ortholog_one2one",100,100,1
"Ttc13","TTC13","ortholog_one2one",100,98.88,1
"Fkbp1b","FKBP1B","ortholog_one2one",100,100,1
"Fsd2","FSD2","ortholog_one2one",100,98.46,1
"Cc2d2a","CC2D2A","ortholog_one2one",100,100,1
"Smyd5","SMYD5","ortholog_one2one",100,100,1
"Mbd2","MBD2","ortholog_one2one",100,100,1
"Mboat1","MBOAT1","ortholog_one2one",50,100,1
"Gjc2","GJC2","ortholog_one2one",100,100,1
"Snrnp48","SNRNP48","ortholog_one2one",100,100,1
"Rev3l","REV3L","ortholog_one2one",100,100,1
"Fxr2","FXR2","ortholog_one2one",75,100,1
"Arhgap24","ARHGAP24","ortholog_one2one",100,100,1
"Cfap73","CFAP73","ortholog_one2one",100,100,1
"Pus1","PUS1","ortholog_one2one",75,98.24,1
"Reln","RELN","ortholog_one2one",100,100,1
"Tapbpl","TAPBPL","ortholog_one2one",100,97.11,1
"Ddx54","DDX54","ortholog_one2one",100,100,1
"Dnaja3","DNAJA3","ortholog_one2one",100,100,1
"Ccdc182","CCDC182","ortholog_one2one",100,100,1
"Gmnn","GMNN","ortholog_one2one",100,100,1
"Lgi4","LGI4","ortholog_one2one",100,100,1
"Zfp398","ZNF398","ortholog_one2one",100,100,1
"Pmch","PMCH","ortholog_one2one",100,100,1
"Vamp1","VAMP1","ortholog_one2one",100,100,1
"Tsc1","TSC1","ortholog_one2one",100,100,1
"Usp6nl","USP6NL","ortholog_one2one",100,100,1
"Slc4a2","SLC4A2","ortholog_one2one",100,100,1
"Chst1","CHST1","ortholog_one2one",100,100,1
"Mbtd1","MBTD1","ortholog_one2one",100,100,1
"Ldah","LDAH","ortholog_one2one",100,100,1
"Parpbp","PARPBP","ortholog_one2one",100,100,1
"Myo15","MYO15A","ortholog_one2one",100,100,1
"Rbis","RBIS","ortholog_one2one",100,100,1
"Olfr267","OR2K2","ortholog_one2one",100,100,1
"Nlrp12","NLRP12","ortholog_one2one",50,100,1
"Dock7","DOCK7","ortholog_one2one",100,100,1
"Tac4","TAC4","ortholog_one2one",100,96.99,0
"Tal1","TAL1","ortholog_one2one",100,100,1
"Abca2","ABCA2","ortholog_one2one",75,99.55,1
"Ak4","AK4","ortholog_one2one",100,100,1
"Il22ra2","IL22RA2","ortholog_one2one",100,95.62,1
"E2f5","E2F5","ortholog_one2one",100,100,1
"Dyrk1b","DYRK1B","ortholog_one2one",100,100,1
"Iqsec1","IQSEC1","ortholog_one2one",50,100,1
"Tomm7","TOMM7","ortholog_one2one",50,86.24,0
"Cdk6","CDK6","ortholog_one2one",50,100,1
"Cd27","CD27","ortholog_one2one",100,100,1
"Nudcd2","NUDCD2","ortholog_one2one",100,100,1
"Zmynd11","ZMYND11","ortholog_one2one",50,100,1
"Tle7","TLE7","ortholog_one2one",100,100,1
"Slc22a16","SLC22A16","ortholog_one2one",100,94.95,0
"Magohb","MAGOHB","ortholog_one2one",100,100,1
"Hp1bp3","HP1BP3","ortholog_one2one",100,100,1
