"human.gene.name","gene.name","human.homology.type","human.gene.order.conservation.score","human.whole.genome.alignment.coverage","human.orthology.confidence..0.low..1.high."
"MT-ND1","mt-Nd1","ortholog_one2one",50,100,1
"MT-ND2","mt-Nd2","ortholog_one2one",75,100,1
"MT-CO1","mt-Co1","ortholog_one2one",100,100,1
"MT-CO2","mt-Co2","ortholog_one2one",100,100,1
"MT-ATP8","mt-Atp8","ortholog_one2one",100,100,0
"MT-ATP6","mt-Atp6","ortholog_one2one",100,100,1
"MT-CO3","mt-Co3","ortholog_one2one",100,100,1
"MT-ND3","mt-Nd3","ortholog_one2one",100,100,1
"MT-ND4L","mt-Nd4l","ortholog_one2one",100,100,1
"MT-ND4","mt-Nd4","ortholog_one2one",100,100,1
"MT-ND5","mt-Nd5","ortholog_one2one",100,100,1
"MT-ND6","mt-Nd6","ortholog_one2one",75,100,1
"MT-CYB","mt-Cytb","ortholog_one2one",50,100,1
"STC2","Stc2","ortholog_one2one",50,100,1
"HDHD3","Hdhd3","ortholog_one2one",100,100,1
"IBA57","Iba57","ortholog_one2one",100,100,1
"KCNJ14","Kcnj14","ortholog_one2one",100,100,1
"TRIM60","Trim60","ortholog_one2one",75,100,1
"NCS1","Ncs1","ortholog_one2one",100,100,1
"GFOD2","Gfod2","ortholog_one2one",100,100,1
"NUDT14","Nudt14","ortholog_one2one",100,100,1
"RLBP1","Rlbp1","ortholog_one2one",100,100,1
"THEMIS","Themis","ortholog_one2one",100,98.38,1
"FBP2","Fbp2","ortholog_one2one",50,100,1
"ZNHIT2","Znhit2","ortholog_one2one",100,100,1
"RNF182","Rnf182","ortholog_one2one",100,100,1
"MACC1","Macc1","ortholog_one2one",50,100,1
"TRIM61","Trim61","ortholog_one2one",0,100,1
"SLC25A4","Slc25a4","ortholog_one2one",100,100,1
"ECHDC3","Echdc3","ortholog_one2one",100,100,1
"SMO","Smo","ortholog_one2one",100,100,1
"DCAF15","Dcaf15","ortholog_one2one",100,100,1
"TTC13","Ttc13","ortholog_one2one",100,98.88,1
"FKBP1B","Fkbp1b","ortholog_one2one",100,100,1
"FSD2","Fsd2","ortholog_one2one",100,98.46,1
"CC2D2A","Cc2d2a","ortholog_one2one",100,100,1
"SMYD5","Smyd5","ortholog_one2one",100,100,1
"MBD2","Mbd2","ortholog_one2one",100,100,1
"MBOAT1","Mboat1","ortholog_one2one",50,100,1
"GJC2","Gjc2","ortholog_one2one",100,100,1
"SNRNP48","Snrnp48","ortholog_one2one",100,100,1
"REV3L","Rev3l","ortholog_one2one",100,100,1
"FXR2","Fxr2","ortholog_one2one",75,100,1
"ARHGAP24","Arhgap24","ortholog_one2one",100,100,1
"CFAP73","Cfap73","ortholog_one2one",100,100,1
"PUS1","Pus1","ortholog_one2one",75,98.24,1
"RELN","Reln","ortholog_one2one",100,100,1
"TAPBPL","Tapbpl","ortholog_one2one",100,97.11,1
"DDX54","Ddx54","ortholog_one2one",100,100,1
"DNAJA3","Dnaja3","ortholog_one2one",100,100,1
"CCDC182","Ccdc182","ortholog_one2one",100,100,1
"GMNN","Gmnn","ortholog_one2one",100,100,1
"LGI4","Lgi4","ortholog_one2one",100,100,1
"ZNF398","Zfp398","ortholog_one2one",100,100,1
"PMCH","Pmch","ortholog_one2one",100,100,1
"VAMP1","Vamp1","ortholog_one2one",100,100,1
"TSC1","Tsc1","ortholog_one2one",100,100,1
"USP6NL","Usp6nl","ortholog_one2one",100,100,1
"SLC4A2","Slc4a2","ortholog_one2one",100,100,1
"CHST1","Chst1","ortholog_one2one",100,100,1
"MBTD1","Mbtd1","ortholog_one2one",100,100,1
"LDAH","Ldah","ortholog_one2one",100,100,1
"PARPBP","Parpbp","ortholog_one2one",100,100,1
"MYO15A","Myo15","ortholog_one2one",100,100,1
"RBIS","Rbis","ortholog_one2one",100,100,1
"OR2K2","Olfr267","ortholog_one2one",100,100,1
"NLRP12","Nlrp12","ortholog_one2one",50,100,1
"DOCK7","Dock7","ortholog_one2one",100,100,1
"TAC4","Tac4","ortholog_one2one",100,96.99,0
"TAL1","Tal1","ortholog_one2one",100,100,1
"ABCA2","Abca2","ortholog_one2one",75,99.55,1
"AK4","Ak4","ortholog_one2one",100,100,1
"IL22RA2","Il22ra2","ortholog_one2one",100,95.62,1
"E2F5","E2f5","ortholog_one2one",100,100,1
"DYRK1B","Dyrk1b","ortholog_one2one",100,100,1
"IQSEC1","Iqsec1","ortholog_one2one",50,100,1
"TOMM7","Tomm7","ortholog_one2one",50,86.24,0
"CDK6","Cdk6","ortholog_one2one",50,100,1
"CD27","Cd27","ortholog_one2one",100,100,1
"NUDCD2","Nudcd2","ortholog_one2one",100,100,1
"ZMYND11","Zmynd11","ortholog_one2one",50,100,1
"TLE7","Tle7","ortholog_one2one",100,100,1
"SLC22A16","Slc22a16","ortholog_one2one",100,94.95,0
"MAGOHB","Magohb","ortholog_one2one",100,100,1
"HP1BP3","Hp1bp3","ortholog_one2one",100,100,1
